[0.342476, 0.542476] ; [0.646685, 0.846685] ; [1.11531, 1.31531]
[0.346235, 0.546235] ; [0.646044, 0.846044] ; [1.11474, 1.31474]
[0.349924, 0.549924] ; [0.64541, 0.84541] ; [1.11418, 1.31418]
[0.353623, 0.553623] ; [0.644772, 0.844772] ; [1.11362, 1.31362]
[0.357268, 0.557268] ; [0.644138, 0.844138] ; [1.11306, 1.31306]
[0.360891, 0.560891] ; [0.643505, 0.843505] ; [1.1125, 1.3125]
[0.364497, 0.564497] ; [0.64287, 0.84287] ; [1.11194, 1.31194]
[0.368013, 0.568013] ; [0.642248, 0.842248] ; [1.1114, 1.3114]
[0.371535, 0.571535] ; [0.64162, 0.84162] ; [1.11084, 1.31084]
[0.37508, 0.57508] ; [0.640984, 0.840984] ; [1.11029, 1.31029]
[0.378476, 0.578476] ; [0.640371, 0.840371] ; [1.10975, 1.30975]
[0.381811, 0.581811] ; [0.63976, 0.83976] ; [1.10921, 1.30921]
[0.385145, 0.585145] ; [0.639146, 0.839146] ; [1.10868, 1.30868]
[0.388439, 0.588439] ; [0.638534, 0.838534] ; [1.10814, 1.30814]
[0.391668, 0.591668] ; [0.637929, 0.837929] ; [1.10761, 1.30761]
[0.394877, 0.594877] ; [0.637324, 0.837324] ; [1.10709, 1.30709]
[0.39807, 0.59807] ; [0.636718, 0.836718] ; [1.10656, 1.30656]
[0.401232, 0.601232] ; [0.636112, 0.836112] ; [1.10603, 1.30603]
[0.40435, 0.60435] ; [0.63551, 0.83551] ; [1.10551, 1.30551]
[0.407422, 0.607422] ; [0.634912, 0.834912] ; [1.10499, 1.30499]
[0.410582, 0.610582] ; [0.634292, 0.834292] ; [1.10445, 1.30445]
[0.413461, 0.613461] ; [0.633722, 0.833722] ; [1.10396, 1.30396]
[0.416461, 0.616461] ; [0.633122, 0.833122] ; [1.10344, 1.30344]
[0.419405, 0.619405] ; [0.632529, 0.832529] ; [1.10292, 1.30292]
[0.422267, 0.622267] ; [0.631947, 0.831947] ; [1.10242, 1.30242]
[0.425102, 0.625102] ; [0.631365, 0.831365] ; [1.10191, 1.30191]
[0.42793, 0.62793] ; [0.630779, 0.830779] ; [1.10141, 1.30141]
[0.430681, 0.630681] ; [0.630203, 0.830203] ; [1.10091, 1.30091]
[0.433409, 0.633409] ; [0.629627, 0.829627] ; [1.10041, 1.30041]
[0.436128, 0.636128] ; [0.629047, 0.829047] ; [1.09991, 1.29991]
[0.438725, 0.638725] ; [0.628481, 0.828481] ; [1.09943, 1.29943]
[0.441289, 0.641289] ; [0.627916, 0.827916] ; [1.09894, 1.29894]
[0.443814, 0.643814] ; [0.627354, 0.827354] ; [1.09846, 1.29846]
[0.446289, 0.646289] ; [0.626797, 0.826797] ; [1.09798, 1.29798]
[0.448733, 0.648733] ; [0.626241, 0.826241] ; [1.0975, 1.2975]
[0.451145, 0.651145] ; [0.625686, 0.825686] ; [1.09702, 1.29702]
[0.45353, 0.65353] ; [0.62513, 0.82513] ; [1.09654, 1.29654]
[0.455849, 0.655849] ; [0.624583, 0.824583] ; [1.09607, 1.29607]
[0.458146, 0.658146] ; [0.624035, 0.824035] ; [1.0956, 1.2956]
[0.460475, 0.660475] ; [0.623471, 0.823471] ; [1.09512, 1.29512]
[0.462616, 0.662616] ; [0.622946, 0.822946] ; [1.09467, 1.29467]
[0.464778, 0.664778] ; [0.622409, 0.822409] ; [1.09421, 1.29421]
[0.466902, 0.666902] ; [0.621874, 0.821874] ; [1.09375, 1.29375]
[0.469039, 0.669039] ; [0.621336, 0.821336] ; [1.09329, 1.29329]
[0.476655, 0.676655] ; [0.620606, 0.820606] ; [1.09269, 1.29269]
[0.484137, 0.684137] ; [0.619888, 0.819888] ; [1.0921, 1.2921]
[0.491586, 0.691586] ; [0.619172, 0.819172] ; [1.09151, 1.29151]
[0.499172, 0.699172] ; [0.618441, 0.818441] ; [1.09092, 1.29092]
[0.50648, 0.70648] ; [0.617736, 0.817736] ; [1.09034, 1.29034]
[0.513713, 0.713713] ; [0.617037, 0.817037] ; [1.08977, 1.28977]
[0.521218, 0.721218] ; [0.61631, 0.81631] ; [1.08917, 1.28917]
[0.528261, 0.728261] ; [0.615627, 0.815627] ; [1.08861, 1.28861]
[0.535519, 0.735519] ; [0.614923, 0.814923] ; [1.08804, 1.28804]
[0.542649, 0.742649] ; [0.61423, 0.81423] ; [1.08747, 1.28747]
